Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
BsonetEurope.tapn;All3;Satisfied;0.022 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P15 >= 1) and (P1_visited.P1_visited >= 1 or Routings.P15 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtAsiaPac.tapn;Reach_P17;Satisfied;0.026 s;N/A;6;3;5;AG (!(deadlock) or Routings.P17 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtAsiaPac.tapn;Waypoint_P8_visited;Satisfied;0.022 s;N/A;6;3;5;AG (P8_visited.P8_visited >= 1 or Routings.P17 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtAsiaPac.tapn;LoopFree;Satisfied;0.023 s;N/A;6;3;5;AG P1_visited.P1_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtAsiaPac.tapn;All3;Satisfied;0.022 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P17 >= 1) and (P8_visited.P8_visited >= 1 or Routings.P17 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtEurope.tapn;Reach_P23;Satisfied;0.031 s;N/A;7;3;6;AG (!(deadlock) or Routings.P23 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtEurope.tapn;Waypoint_P4_visited;Satisfied;0.028 s;N/A;7;3;6;AG (P4_visited.P4_visited >= 1 or Routings.P23 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtEurope.tapn;LoopFree;Satisfied;0.028 s;N/A;7;3;6;AG P1_visited.P1_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtEurope.tapn;All3;Satisfied;0.029 s;N/A;7;3;6;AG ((!(deadlock) or Routings.P23 >= 1) and (P4_visited.P4_visited >= 1 or Routings.P23 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtLatinAmerica.tapn;Reach_P50;Satisfied;0.028 s;N/A;6;3;5;AG (!(deadlock) or Routings.P50 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtLatinAmerica.tapn;Waypoint_P29_visited;Satisfied;0.021 s;N/A;6;3;5;AG (P29_visited.P29_visited >= 1 or Routings.P50 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtLatinAmerica.tapn;LoopFree;Satisfied;0.023 s;N/A;6;3;5;AG P10_visited.P10_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtLatinAmerica.tapn;All3;Satisfied;0.025 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P50 >= 1) and (P29_visited.P29_visited >= 1 or Routings.P50 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtNorthAmerica.tapn;Reach_P28;Satisfied;0.03 s;N/A;6;3;5;AG (!(deadlock) or Routings.P28 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtNorthAmerica.tapn;Waypoint_P1_visited;Satisfied;0.031 s;N/A;6;3;5;AG (P1_visited.P1_visited >= 1 or Routings.P28 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtNorthAmerica.tapn;LoopFree;Satisfied;0.028 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
BtNorthAmerica.tapn;All3;Satisfied;0.038 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P28 >= 1) and (P1_visited.P1_visited >= 1 or Routings.P28 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Canerie.tapn;Reach_P31;Satisfied;0.027 s;N/A;6;3;5;AG (!(deadlock) or Routings.P31 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Canerie.tapn;Waypoint_P3_visited;Satisfied;0.021 s;N/A;6;3;5;AG (P3_visited.P3_visited >= 1 or Routings.P31 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Canerie.tapn;LoopFree;Satisfied;0.023 s;N/A;6;3;5;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Canerie.tapn;All3;Satisfied;0.023 s;N/A;6;3;5;AG ((!(deadlock) or Routings.P31 >= 1) and (P3_visited.P3_visited >= 1 or Routings.P31 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Cernet.tapn;Reach_P30;Satisfied;0.03 s;N/A;9;3;8;AG (!(deadlock) or Routings.P30 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Cernet.tapn;Waypoint_P29_visited;Satisfied;0.03 s;N/A;9;3;8;AG (P29_visited.P29_visited >= 1 or Routings.P30 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Cernet.tapn;LoopFree;Satisfied;0.028 s;N/A;9;3;8;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Cernet.tapn;All3;Satisfied;0.034 s;N/A;9;3;8;AG ((!(deadlock) or Routings.P30 >= 1) and (P29_visited.P29_visited >= 1 or Routings.P30 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Cesnet2001.tapn;Reach_P22;Satisfied;0.03 s;N/A;7;3;6;AG (!(deadlock) or Routings.P22 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
